Test,p_value_LCG (Park-Miller),p_value_Mersenne Twister (MT19937),pass_LCG (Park-Miller),pass_Mersenne Twister (MT19937),winner_by_pvalue,p_diff
Approximate Entropy (m=10),,,True,True,N/A,
Binary Matrix Rank,,,True,True,N/A,
Block Frequency (M=128),,,True,True,N/A,
Cumulative Sums (Backward),,,True,True,N/A,
Cumulative Sums (Forward),,,True,True,N/A,
Discrete Fourier Transform,,,True,True,N/A,
Frequency (Monobit),,,True,True,N/A,
Linear Complexity (M=500),,,True,True,N/A,
Longest Run of Ones,,,True,True,N/A,
Maurer's Universal,,,True,True,N/A,
Overlapping Template Matchings (m=9),,,True,True,N/A,
Random Excursions (subtest#1),,,True,True,N/A,
Random Excursions (subtest#2),,,True,True,N/A,
Random Excursions (subtest#3),,,True,True,N/A,
Random Excursions (subtest#4),,,True,True,N/A,
Random Excursions (subtest#5),,,True,True,N/A,
Random Excursions (subtest#6),,,True,True,N/A,
Random Excursions (subtest#7),,,True,True,N/A,
Random Excursions (subtest#8),,,True,True,N/A,
Random Excursions Variant (subtest#1),,,True,True,N/A,
Random Excursions Variant (subtest#10),,,True,True,N/A,
Random Excursions Variant (subtest#11),,,True,True,N/A,
Random Excursions Variant (subtest#12),,,True,True,N/A,
Random Excursions Variant (subtest#13),,,True,True,N/A,
Random Excursions Variant (subtest#14),,,True,True,N/A,
Random Excursions Variant (subtest#15),,,True,True,N/A,
Random Excursions Variant (subtest#16),,,True,True,N/A,
Random Excursions Variant (subtest#17),,,True,True,N/A,
Random Excursions Variant (subtest#18),,,True,True,N/A,
Random Excursions Variant (subtest#2),,,True,True,N/A,
Random Excursions Variant (subtest#3),,,True,True,N/A,
Random Excursions Variant (subtest#4),,,True,True,N/A,
Random Excursions Variant (subtest#5),,,True,True,N/A,
Random Excursions Variant (subtest#6),,,True,True,N/A,
Random Excursions Variant (subtest#7),,,True,True,N/A,
Random Excursions Variant (subtest#8),,,True,True,N/A,
Random Excursions Variant (subtest#9),,,True,True,N/A,
Runs,,,True,True,N/A,
Serial (m=16) (subtest#1),,,True,True,N/A,
Serial (m=16) (subtest#2),,,True,True,N/A,
